,category,legName,pieceName,content
160,family, Muslim Marriage and Divorce Act,99-Savings.txt,"On and after the appointed date-
(a) every rule made under section 18 and every regulation made under section 22 of the Muslim Marriage and Divorce Registration Ordinance, 1929,* and in force on the day immediately preceding that date shall, in so far as such rule or regulation is not inconsistent with the provisions of this Act, continue in force and be deemed to be a rule or regulation made under section 62 or section 94, as the case may be, of this Act;[*Repealed by Act No. 13 of 1951.]
(b) every officiating priest, temporary officiating priest or special officiating priest licensed under the Muslim Marriage and Divorce Registration Ordinance, 1929,* shall be deemed to be a registrar, temporary registrar or special registrar appointed under this Act; and every licence issued under that Ordinance shall be deemed to be a certificate of appointment issued under this Act;[*Repealed by Act No. 13 of 1951.]
(c) every Kathi, temporary Kathi or special Kathi, appointed under the Muslim Marriage and Divorce Registration Ordinance, 1929,* shall be deemed to be a Quazi, temporary Quazi or special Quazi appointed under this Act; and the Board of Kathis appointed under that Ordinance shall be deemed to be the Board of Quazis appointed under this Act.[* Repealed by Act No. 13 of. 1951.][+ Paragraphs (d), (e), (f) and (g) are omitted.]"
161,family, Muslim Marriage and Divorce Act,"79-Penalty for destruction of registers, &c.txt","Every person who-
(a) willfully destroys or injures, or causes to be destroyed or injured, any record of proceedings, register, book, permit or other document kept or issued under this Act or under the Mohammedan Marriage Registration Ordinance, 1886,f or under the Muslim Marriage and Divorce Registration Ordinance, 1929,* or[* Repealed by Act No. 13 of 1951.]
(b) falsely makes, fabricates or counterfeits in whole or in part any such register, book, permit or document or any document, purporting to be a certified copy of any such register, book, permit or document, or part thereof or extract therefrom, or
(c) willfully inserts any false entry in any such register, book, permit, document, or any certified copy thereof or extract therefrom,
shall be guilty of an offence, and shall be liable on conviction to imprisonment of either description for a term not exceeding three years."
162,family, Muslim Marriage and Divorce Act,78-Forms.txt,For the purposes of this Act the forms set out in the First Schedule shall be used with such variations as may be necessary for any particular case.
163,family, Muslim Marriage and Divorce Act,77-Correction of clerical errors in registers.txt,"Any clerical error which may from time to time be discovered in any register or other document kept for the purposes of this Act or in any register or other document which was required to be kept under the Muslim Marriage and Divorce Registration Ordinance, 1929, * or under the Mohammedan Marriage Registration Ordinance, 1886, may, after due inquiry, be corrected by the Registrar-General or by any person authorized in that behalf by the Registrar- General, in such circumstances and in accordance with such conditions and procedure as may be prescribed.[* Repealed by Act No. 13 of 1951.]












"
164,family, Muslim Marriage and Divorce Act,70-Registers and copies to be evidence.txt,"Every book or register of a Quazi or of a registrar, and every general register, and every copy of every entry in any such book or register and every extract therefrom, certified under the hand of the Registrar-General or a District Registrar or the Secretary to the Board of Quazis or a Quazi or a registrar to be a true copy or extract, and every document referred to in section 69 and every copy of any such document or any entry in any such document certified under the hand of the District Registrar to be a true copy issued under section 19A and section 29 (5) shall be prima facie evidence in all courts of the dates and facts contained or set out in such book, register, general register, copy or extract."
165,family, Muslim Marriage and Divorce Act,71-Entry in the register of marriages or in the register of divorces to be best evidence.txt,"A certified copy of the entry in the register of marriages kept under section 18 or in the register of divorces kept under section 29 of this Act or in any register heretofore kept under the Mohammedan Marriage Registration Ordinance, 1886,f or under the Muslim Marriage and Divorce Registration Ordinance, 1929,* shall be accepted and received in all courts as the best evidence of the marriage or divorce, as the case may be, to which the entry relates.[* Repealed by Act No. 13 of 1951. ]

"
166,family, Muslim Marriage and Divorce Act,"72-Books, &c, to be supplied free.txt",Blank books for registers and blank books for all other records required to be kept by Quazis and registrars shall be furnished free of charge by the District Registrar on the application of any Quazi or registrar.
167,family, Muslim Marriage and Divorce Act,"73-Members of the Board of Quazis, secretary to the Board of Quazis and Quazis deemed to be public servants.txt","Every member of the Board of Quazis, the secretary to that board, and every Quazi, shall be deemed to be a public servant within the meaning of the Penal Code, and all proceedings before the Board of Quazis or before a Quazi under the provisions of this Act shall be deemed to be judicial proceedings within the meaning of Chapter XI of the Penal Code.

"
168,family, Muslim Marriage and Divorce Act,74-Representation of parties and witnesses before Quazis.txt,"No attorney-at-law shall be entitled or permitted to appear on behalf of any party or witness in any proceedings before a Quazi under this Act.
The preceding provisions of this section shall not apply in the case of any. proceedings before the Board of Quazis."
169,family, Muslim Marriage and Divorce Act,75-Duty of police officers and grama seva niladharis to assist Quazis.txt,It shall be the duty of every police officer or grama seva niladhari to aid and assist the Board of Quazis and the Quazis in the exercise of the powers and jurisdiction or the performance of the duties conferred or imposed on them by this Act.
170,family, Muslim Marriage and Divorce Act,"76-Damage of duplicate and original entries, and reconstruction of duplicate and original entries.txt","(1) Where the original of any marriage or divorce entry made by a registrar or a Quazi is lost, damaged, has become illegible or is in danger of becoming illegible, the Registrar-General may, if the duplicate is available, cause the missing document to be replaced by a copy of such duplicate, such copy being certified by the Registrar- General to be a true copy. Every such copy so certified shall replace the original and shall, for all purposes, be deemed to be the original of such entry.

(2) Where the duplicate of any marriage or divorce entry made by a registrar or a Quazi is lost, damaged, has become illegible or is in danger of becoming illegible, the Registrar-General may, if the original of such entry is available, cause the missing document to be replaced by a copy of such original, such copy being certified by the registrar or the Quazi to be a true copy and countersigned by the District Registrar. Every such copy so certified and countersigned shall, for all purposes, be deemed to be the duplicate of such entry.

(3) Where both the duplicate and the original of a marriage or divorce entry made by a registrar or a Quazi are lost, damaged, have become illegible, or are in danger of becoming illegible, the provisions of section 13 of the Births and Deaths Registration Act shall, mutatis mutandis, apply to and in relation to the substitution of copies of such duplicate and original. Such copies shall replace the original and duplicate entries and shall, for all purposes, be deemed to be the original and duplicate entries, respectively."
171,family, Muslim Marriage and Divorce Act,69-Records kept under earlier law to be open to inspection.txt,"All documents which were required” to’ be kept under the Mohammedan Marriage Registration Ordinance, 1886, and which are in the custody of any District Registrar shall be open to inspection at all reasonable hours, upon the payment of the prescribed fee by any person applying for permission to inspect the same; and the District Registrar shall, at the request of any person and upon payment of the prescribed fee, issue to that person a copy of any such document or of any entry therein, certified under his hand to be a true copy.
"
172,family, Muslim Marriage and Divorce Act,50-Power of Quazi to administer oaths.txt,Every Quazi is hereby empowered to administer oaths to witnesses or to Muslim assessors in the course of any inquiry or other proceedings held or taken by him under this Act.
173,family, Muslim Marriage and Divorce Act,51-Quazis to enter into security bonds.txt,"(1) Every Quazi shall, before he commences to perform any of the functions of his office, enter into a bond in the sum of one thousand rupees conditioned for the due and faithful discharge of his duties.

(2) In the case of a Quazi appointed under section 12 or section 13 the bond shall be executed before the District Registrar, and in the case of a Quazi appointed under section 14 the bond shall be executed before the Registrar-General or any District Registrar authorized for the purpose by the Registrar-General.

(3) The aforesaid sum shall be secured to the State, either by the hypothecation of immovable property or by deposit of movable property, or by the guarantee of two or more sufficient sureties in that behalf to the satisfaction of the District Registrar or Registrar-General, as the case may be.

(4) Each such bond shall be filed in the office of the District Registrar or of the Registrar-General as the case may be."
174,family, Muslim Marriage and Divorce Act,52-Quazis to keep record of moneys received and paid by them.txt,"(1) A record of each sum of money received .by a Quazi under any of the provisions of this Act or the regulations thereunder shall forthwith be made by him in the prescribed book and such money shall forthwith be paid by him to the person entitled thereto:
Provided that where the person entitled to any money is a child under fourteen years of age such payment may be made by the Quazi in his discretion to the person who from time to time has the custody of that child;
Provided further that where the person entitled to any money cannot be found or does not claim the money within the period of one month after the date on which the Quazi received such money, the Quazi shall pay such money to the District Registrar.

(2) A record of each sum of money paid by a Quazi in pursuance of the provisions of subsection (1) shall forthwith be made by him in the prescribed book and every such payment must be supported by a receipt in the prescribed form signed by the payee."
175,family, Muslim Marriage and Divorce Act,53-Quazis to report to District Registrar sums deposited or withdrawn under section 38.txt,"Every Quazi who deposits any money in or authorizes the withdrawal of any money from a kachcheri in pursuance of the provisions of section 38 shall forthwith report to the District Registrar the amount so deposited or to be withdrawn, the date on which the deposit was made or the withdrawal was authorized, the name of the claimant and any other particulars which may be prescribed.


"
176,family, Muslim Marriage and Divorce Act,54-Quazis to send copies of entries and indexes to District Registrar each month.txt,"Unless otherwise provided by regulation, every Quazi shall, at the close of each month, send to the District Registrar copies, verified on oath in the prescribed form, of all entries made by him in his books or registers or in the indexes thereto during that month.
The preceding provisions of this section shall not apply to the records of proceedings before a Quazi or to entries in the divorce register.


"
177,family, Muslim Marriage and Divorce Act,55-Quazis and registrars to keep indexes of books and registers.txt,"Every Quazi and every registrar shall keep, in the prescribed form, a current index of the contents of every book and register kept by him, except where it is otherwise provided by regulation; and every entry in such index shall be made, so far as practicable, immediately after he has made an entry in the book or register,"
178,family, Muslim Marriage and Divorce Act,"56-Custody of registers, &c, by Quazis and registrars.txt","(1) Except in such cases or on such occasions as may be prescribed or except on the orders of a competent court, no Quazi registrars or registrar shall permit any other person to take possession or to have the custody of any register, book, or other document required to be kept by such Quazi or registrar under this Act.

(2) Every Quazi and every registrar shall keep all registers, books, and indexes until they are filled up and shall then forward them for record to the District Registrar,

(3) Where a Quazi or registrar leaves the area for which he is appointed, or resigns his office, or where his appointment is cancelled, he, or in the event of his death, his legal representative, shall forthwith deliver his books, registers, and indexes to the District Registrar; and on failure of such delivery, the District Registrar shall take possession of them.

(4) No person other than a Quazi or a registrar shall keep any book or register which is or purports to be a register of Muslim marriages or divorces, or any record of proceedings relating to divorces effected or purporting to have been effected by any other person, under the provisions of this Act or the Muslim Marriage and Divorce Registration Ordinance, 1929.*[*Repealed by Act No. 13 of 1951.]"
179,family, Muslim Marriage and Divorce Act,57-Muslim assessor’s oath.txt,Every Muslim assessor who is empanelled for the purposes of this Act shall take an oath in the prescribed form before he functions as an assessor.
180,family, Muslim Marriage and Divorce Act,58-Duty to send to District duplicates from marriage and divorce registers.txt,"(1) The registrar who registers a marriage or the Quazi who registers a divorce shall detach the duplicate from the marriage register or the divorce register, as the case may be, and send such duplicate and in the case of a marriage, the declarations under section 18 (1), on or before the fifth day of the month following that in which the marriage or divorce was registered, to the District Registrar.

(2) Where a marriage is registered by a registrar authorized under the proviso to section 11, he shall, in addition to complying with the requirements of subsection (1), send certified copies of the statement of particulars entered in the marriage register, of the declarations, and of chargeable by registrars. the letter authorizing him to register the marriage, to the District Registrar having jurisdiction over the area in which the marriage is registered.

(3) All duplicates and declarations sent to the District Registrar in accordance with the provisions of subsection (1) shall be forwarded by him to the Registrar-General who shall cause such duplicates and declarations to be filed and preserved in his office."
181,family, Muslim Marriage and Divorce Act,59-Fees chargeable by registrars.txt,"(1) Every registrar shall be entitled to demand and to receive as his own remuneration a fee at the prescribed rate from the prescribed persons for the performance of each of his duties under this Act.

(2) Every registrar shall keep posted in a conspicuous part of his house, a table setting out, in Sinhala, Tamil and English, the fees prescribed for the performance of each of the duties of a registrar under this Act."
182,family, Muslim Marriage and Divorce Act,60-Appeals from Quazis’ orders.txt,"(1) Any party aggrieved by any final order made by a Quazi under the rules in the Third Schedule or in any inquiry under section 47 shall have a right of appeal to the Board of Quazis:
Provided that there shall be no appeal from an order absolute made in accordance with the rules in the Fourth Schedule in any inquiry under section 47.

(2) All appeals under this section shall be heard and disposed of in accordance with the rules in the Fifth Schedule."
183,family, Muslim Marriage and Divorce Act,61-Appeals from the Registrar-General’s or District Registrars’ orders.txt,"Every order made by the Registrar- General refusing or cancelling or recalling a certificate of appointment under section 8 shall be subject to appeal to the Minister, and every order made by a District Registrar under section 32 shall be subject to appeal to the Registrar-General, and every such appeal shall be preferred within fourteen days after the order appealed from is notified to the party or parties concerned."
184,family, Muslim Marriage and Divorce Act,62-Appeals to court of Appeal.txt,"(1) Any party aggrieved by any order of the Board of Quazis on any appeal under section 60 may, with the leave of the Court of Appeal first had and obtained, appeal to that court from such order.

(2) The Supreme Court may, from time to time, make such general rules as to it shall seem meet for regulating the mode of applying for leave to appeal and of prosecuting appeals from orders of the Board of Quazis and for regulating any matters relating to the costs of such applications for leave to appeal and of appeals."
185,family, Muslim Marriage and Divorce Act,63-Appeal not withstanding lapse of time &c.txt,"Notwithstanding anything in any rule in the Fifth Schedule or in any regulation under this Act relating to appeals against orders made by Quazis, it shall be competent for the Board of Quazis-
(a) where any appeal is filed out of time, to entertain the appeal if the board is satisfied that the appeal could not be filed in time owing to illness, accident, misfortune or other unavoidable cause; or
(b) where a petition of appeal is not stamped or is insufficiently stamped, to entertain the appeal if the petitioner pays in stamps an amount equal to twice the value of the stamps that should have been affixed or twice the deficiency, as the case may be.


"
186,family, Muslim Marriage and Divorce Act,"64-Recovery of sums due on claims, &c, under section 47 other than claims for mahr or kaikuli.txt","(1) Any sum claimed in any proceedings under section 47 (other than proceedings for the recovery of mahr or kaikuli) and allowed by the Quazi, or on appeal, by the Board of Quazis, or, in the case of a further appeal, by the Court of Appeal, may in case of default of payment be recovered as though it were a fine imposed under this Act, on application made to the Magistrate having jurisdiction in the area within which the person liable to pay such sum is for the time being resident.

(2) Every application under subsection (1) shall be made by the Quazi and shall be supported by a certificate under his hand stating the amount of the sum due, the name of the person liable to pay such sum, the name or names of the person or persons entitled thereto, and whether the proceedings in which the order requiring the payment was made were inter panes or ex pane.

(3) Every sum referred to in subsection (I) may be recovered as a fine notwithstanding that such sum exceeds the amount of the maximum fine which the Magistrate may in his ordinary jurisdiction impose, and when recovered shall be remitted to the Quazi for payment in due course to the person thereto entitled."
187,family, Muslim Marriage and Divorce Act,65-Recovery of sums due on claims for mahr or kaikuli.txt,"(1) In allowing any claim under section 47 for the recovery of mahr or kaikuli the Quazi, or on appeal, the Board of Quazis, or in the case of a further appeal, the Court of Appeal, may make order that the sum so allowed shall be paid to the Quazi in such installments and on such dates as may be specified in the order.

(2) Where default is made in the payment of any installment specified in an order made under subsection (1), the Quazi may, in his discretion, by notice under his hand served on the person liable to make such payment, require such person to pay to the Quazi, within such period as may be specified in the notice, the aggregate of all such installments then outstanding; and where such person fails to comply with such notice within the specified period, the Quazi may send to the Primary Court having jurisdiction within the area for which he is appointed, a certificate under his hand specifying the aggregate amount outstanding, the name of the
person liable to pay such amount, the name of the person entitled to such amount and such other particulars as may be prescribed.
No such certificate shall be made out except upon payment to the Quazi, by the person entitled to such amount of the prescribed stamp duty,

(3) Every certificate sent under subsection (2) shall be registered by the Judge of the Primary Court and shall be deemed to be a decree to pay money entered by such court on the date of such registration, notwithstanding that the aggregate amount specified in such certificate may exceed the maximum amount which that court may award in the exercise of its ordinary jurisdiction, and shall be binding on all parties concerned and may be enforced in the same manner as a decree of such court. All further proceedings in the Primary Court in connexion with such certificate shall be liable to stamp duty as if they were proceedings in an action for the amount specified in such certificate:
Provided that where such amount exceeds one thousand five hundred rupees, stamp duty shall be leviable as though such amount were one thousand five hundred rupees.

(4) There shall be no appeal to the Court of Appeal from any order made by the Judge of a Primary Court in any proceeding taken under the preceding provisions of this section."
188,family, Muslim Marriage and Divorce Act,66-Procedure on failure to orders for maintenance.txt,"Where any person against whom an order for maintenance is made by a Quazi under this Act fails or neglects to comply with the order, the Magistrate to whom application is made by the Quazi under section 64 may for every breach of the order issue a warrant directing the amount due to be levied in the manner provided by law for levying fines imposed by Magistrates, and may sentence such person, in respect of the whole or any part of any monthly allowance remaining unpaid by such person after the execution of the warrant, to imprisonment of either description for any term not exceeding one month:

Provided that if the Quazi has certified that the proceedings in which the order was made were ex pane and the person against whom the order was made informs the Magistrate that he desires to have such proceedings reopened, the Magistrate shall release such person on his executing a bond in a reasonable sum conditioned for his appearance in the Magistrate’s Court on a date to be fixed by the Magistrate, or if the application to reopen such proceedings is dismissed by the Quazi, within three days of the dismissal of such application whichever date is the earlier"
189,family, Muslim Marriage and Divorce Act,67-Transfer of proceedings from one Quazi to another.txt,"Where it appears to the Judicial service Commission, on the application of any party to, or any person interested in, any proceedings instituted or to be instituted under this Act before a Quazi, that a fair and impartial inquiry cannot be had before such Quazi, or where a Quazi himself makes an application in that behalf to the said Commission, the Commission may order that such"
190,family, Muslim Marriage and Divorce Act,68-Registers and indexes to be open to inspection.txt,"The records of any proceedings pending before the Board of Quazis or before any Quazi, and the general register and the books, registers and indexes of Quazis and registrars (whether kept under this Act or the Muslim Marriage and Divorce Registration Ordinance, 1929 *), shall be open to inspection at all reasonable hours upon the payment of the prescribed fee by any person applying for permission to inspect them; and the Registrar-General or a District Registrar or the secretary to the Board of Quazis or a Quazi or a registrar shall, at the request of any person and upon payment of the prescribed fee, issue to that person a copy of any entry therein, certified under his hand to be a true copy.[* Repealed by Act No. 13 of 1951. ]"
191,family, Muslim Marriage and Divorce Act,49-Quazis’ oath of office.txt,Every Quazi shall take an oath of office in the prescribed form as soon as may be after his appointment and before he commences to exercise any powers or perform any duties or functions under this Act.
192,family, Muslim Marriage and Divorce Act,48-Quazi to have exclusive jurisdiction to inquire into matters specified in section 47.txt,"Subject to any special provision in that behalf contained in this Act, the jurisdiction exercisable by a Quazi under section 47 shall be exclusive and any matter falling within that jurisdiction shall not be tried or inquired into by any other court or tribunal whatsoever."
193,family, Muslim Marriage and Divorce Act,47-General powers of Quazis.txt,"(1) The powers of the Quazi under this Act shall include the power to inquire into and adjudicate upon-
(a) any claim by a wife for the recovery of mahr;
(b) any claim for maintenance by or on behalf of a wife ;
(c) any claim for maintenance by or on behalf of a legitimate child ;
(cc) notwithstanding anything to the contrary in section 2, any claim for maintenance by or on behalf of an illegitimate child, where the mother of such child and the person from whom maintenance is claimed are Muslims;
(d) any claim by a divorced wife for maintenance until the registration of the divorce or during her period of iddat, or, if such woman is pregnant at the time of the registration of the divorce, until she is delivered of the child ;
(e) any claim for the increase or reduction of the amount of any maintenance ordered under this section or under section 21 of the Muslim Marriage and Divorce Registration Ordinance, 1929 ;*[*Repealed by Act No. 13 of 1951.]
(f) any claim for kaikuli;
(g) any claim by a wife or a divorced wife for her lying-in expenses;
(h) any application for mediation by the Quazi between a husband and wife;
(i) any application for a declaration of nullity of marriage either by a husband or by a wife;
(j) any application for authority to register the marriage of a girl who has not passed the age of twelve years:
Provided that no variation or alteration of any maintenance ordered under this section or under section 21 of the Muslim Marriage and Divorce Registration Ordinance, 1929,* shall be made except upon good and sufficient cause shown to the Quazi and after notice to all the parties concerned.[*Repealed by Act No. 13 of 1951.]

(2) A Quazi may inquire into and deal with any complaint by or on behalf of a woman against a wali who unreasonably withholds his consent to the marriage of such woman, and may if necessary make order authorizing the marriage and dispensing with the necessity for the presence or the consent of a wali.

(3) Where a woman has no wali, a Quazi may, after such inquiry as he may consider necessary, make order authorizing the marriage and dispensing with the necessity for the presence or the consent of a wali

(4) Where an order is made under subsection (2) or subsection (3) authorizing any marriage, a permit authorizing the registration thereof shall be issued by the Quazi, but no such permit shall be issued until the expiry of a period of ten days from the date of the order, or, where an appeal is preferred against such order, unless such order is confirmed by the Board of Quazis, or, in the event of a further appeal, by the Court of Appeal.

(5) In this section ” divorced wife” includes a wife against whom the talak has been pronounced, and who has not been taken back by the husband. (6) Every inquiry under this section shall be held as nearly as possible in accordance with the rules in the Fourth Schedule, but no Muslim assessors shall be empanelled for the purpose of assisting the Quazi at such inquiry."
194,family, Muslim Marriage and Divorce Act,46-Duty of Board of Quazis to advise on questions of law submitted by a Quazi.txt,"(1) Any Quazi may if he thinks fit reserve for the consideration of the Board of Quazis any question of Muslim law which arises in any proceedings before him, and, where any question of law is so reserved, no further steps shall be taken in such proceedings until the opinion of the board is communicated to him.

(2) Every Quazi reserving a question of Muslim law under subsection (1) shall submit the question in writing in the form of a special case, and shall state shortly the facts, if any, which are relevant to the consideration of the question.

(3) The Board of Quazis shall, as soon as may be, determine every question of law reserved for its consideration under subsection (1) and communicate its opinion thereon to the Quazi who referred the question; and such Quazi shall, in the proceedings in which the question arose, be bound by such opinion."
195,family, Muslim Marriage and Divorce Act,45-Duty of Board of Quazis to furnish Registrar-General with opinions on questions of Muslim law.txt,"The Board of Quazis shall, at the written request of the Registrar-General, furnish him with a written opinion on any question of Muslim law which may arise in connection with the administration of this Act or of any regulation made thereunder."
196,family, Muslim Marriage and Divorce Act,44-Revisory powers of Board of Quazis.txt,"(1) The Board of Quazis may, in respect of any proceedings before a Quazi the record of which has been called for, in its discretion exercise any of the powers conferred upon it for the purposes of its appellate jurisdiction.

(2) No order under this section shall be made by the Board of Quazis to the prejudice of any person unless he has had an opportunity of being heard either in person or by his representative.

(3) Every order made by the Board of Quazis under this section shall have the same effect as an order made on appeal from an order made by a Quazi."
197,family, Muslim Marriage and Divorce Act,43-Power of Board of Quazis to call for records.txt,"The Board of Quazis may call for and examine the record of any proceedings before a Quazi under this Act in respect of any matter (whether such matter has been tried or inquired into or is pending trial or inquiry) for the purpose of satisfying itself as to the legality or propriety of any order passed therein or as to the regularity of the proceedings.

"
198,family, Muslim Marriage and Divorce Act,42-Duty of District Registrar to cause copies of Quazis’ entries to be bound.txt,"Every District Registrar shall cause to be bound together in a general register all copies of entries sent to him by Quazis in pursuance of the provisions of section 54,"
199,family, Muslim Marriage and Divorce Act,41-Power of District Registrar to dispose of money paid under section 52.txt,All moneys paid to a District Registrar by a Quazi in pursuance of the provisions of the second proviso to section 52 (1) shall be disposed of by the District Registrar in such manner as may be prescribed.
200,family, Muslim Marriage and Divorce Act,"40-Power of Registrar- General and District Registrars to inspect registers, &c.txt","The Registrar-General or any District Registrar may inspect or cause to be inspected from time to time the books and registers required to be kept under this Act by the Quazis and registrars, and may hear any complaints respecting any such books or registers, or the conduct of any of the registrars."
201,family, Muslim Marriage and Divorce Act,39-Prescription of action for mahr.txt,"The time for the prescription or limitation of a suit or action for the whole or part of a woman’s mahr shall not begin to run until the dissolution of the marriage by death or divorce, and such suit or action shall be maintainable if commenced within three years from the date of such dissolution of marriage."
202,family, Muslim Marriage and Divorce Act,38-Disposal of moneys received by Quazi in claims where party is represented under section 37.txt,"(1) Where, in any proceedings under this Act for mahr or kaikuli, a woman claimant is represented by some other person under section 37, all moneys received by a Quazi to which that woman is entitled as the claimant shall, notwithstanding anything in section 53, be deposited by the Quazi in the kachcheri in the name of such claimant.

(2) No money deposited by a Quazi in a kachcheri under subsection (1) shall be withdrawn by any person unless the Quazi has in writing authorized such withdrawal; and the Quazi shall not authorize the withdrawal of the whole or any part of any money deposited as aforesaid unless he is satisfied that such money will be used for the maintenance or benefit of the woman on whose behalf the claim was made."
203,family, Muslim Marriage and Divorce Act,37-Representation of woman in claiming for mahr or kaikuli.txt,"Where it is proved to the satisfaction of a Quazi that a woman claiming or intending to claim mahr or kaikuli is, through sickness, infirmity or other reasonable cause, unable to appear in person, the Quazi may permit any fit and proper person authorized in that behalf by the claimant and approved by the Quazi, to institute proceedings or to appear on behalf of the claimant.


"
204,family, Muslim Marriage and Divorce Act,36-Orders for payment of maintenance from date of claim.txt,"Subject to the provisions of sections 34 and 35, where an order is made allowing a claim for maintenance by or on behalf of a wife or child, the authority making the order may specify therein that the order shall have effect from the date of the claim, and, in every such case, maintenance, in accordance with the order, shall be payable from the date on which such claim was made.

"
205,family, Muslim Marriage and Divorce Act,35-Claims for child’s maintenance.txt,"(1) A child or any person on behalf of a child shall not be entitled to claim or to receive maintenance in respect of any period during which the child is or was living with or supported by the father.

(2) In allowing any claim for maintenance by or on behalf of a child a deduction shall be made of the sums which may have been paid by the father for the use or support of the child between the date of the claim and the date of the order allowing the claim."
206,family, Muslim Marriage and Divorce Act,34-Claims for wife’s maintenance.txt,"A wife or any person on behalf of a wife shall not be entitled to claim or to receive maintenance in respect of any period during which the wife lives or has lived with her husband whether on the orders of a Quazi or otherwise.


"
207,family, Muslim Marriage and Divorce Act,32-Power to register marriages and divorces omitted to be registered and to rectify errors in registration.txt,"(1) Where a marriage or divorce contracted or effected on or after the 1st day of January, 1937, has not been registered or has been registered with erroneous particulars, it shall be lawful for either of the parties to the marriage or the divorce, or, where either of them is dead, for the issue or other lawful representative of any such party, to apply to the District Registrar of the district in which such marriage or divorce was contracted or effected to have such marriage or divorce registered or the erroneous particulars rectified, as the case may be. On receipt of such application the District Registrar shall cause the officiating or other priest or registrar or Quazi before whom the marriage or divorce, as the case may be, was contracted or effected and any other persons whom he may consider it expedient to hear, to be served with a notice to show cause why such application should not be granted- If no sufficient cause is shown to the contrary and the District Registrar is satisfied, after hearing such evidence as may be adduced, that such marriage or divorce was in fact contracted or effected and that it has not been registered or has been registered with erroneous particulars, he shall by order under his hand direct the marriage or divorce to be registered or the erroneous particulars to be rectified, as the case may require.

(2) To every application made under subsection (1), stamps of the prescribed value shall be affixed by the applicant."
208,family, Muslim Marriage and Divorce Act,31-Effect of registration of divorce or remarriage.txt,"Every divorce or remarriage duly registered in the manner required by section 23 of the Muslim Marriage and Divorce Registration Ordinance, 1929,* shall be deemed to be valid and to have been duly effected or contracted, as the case may be, on the original date of such divorce or remarriage, and all children born of such remarriage shall be deemed to be legitimate children of such remarriage.[*Repealed by Act No. 13 of 1951.]"
209,family, Muslim Marriage and Divorce Act,30-Registration of divorces in cases where proof of divorce is inadequate.txt,"Where, in any proceedings before a Quazi under this Act, a Muslim husband states that he has at any time earlier (whether before or after the commencement of this Act divorced his wife, but is unable to prove that a divorce was in fact effected, the statement of the husband at such proceedings shall be deemed to be the pronouncement of a talak under the Muslim law and shall be recorded accordingly under the rules in the Second Schedule, and the provisions of those rules relating to the procedure to be followed after the pronouncement of a talak is recorded shall mutatis mutandis apply in that case:
Provided that the divorce shall not be registered in any such case until the expiry of a period of three months from the date on which the pronouncement of the talak is recorded as aforesaid, or, if the wife is pregnant at the expiry of that .period, until she is delivered of the child.



"
210,family, Muslim Marriage and Divorce Act,29-Registration of divorce.txt,"(1) The Quazi who is required in accordance with the Second Schedule or Third Schedule to register a divorce shall enter, in Sinhala or in Tamil, a statement of the particulars of the divorce in triplicate, that is to say, the original, the second copy (hereinafter referred to as the ” duplicate “) and a third copy, in a divorce register, which he is hereby required to keep for that purpose substantially in form V set out in the First Schedule. The third copy shall bear an endorsement under the hand of the Quazi to the effect that it is issued under section 29 (5).

(2) The entries relating to any divorce in the divorce register shall be signed in the original, and in the duplicate and in the third copy by the Quazi and by the husband and wife if present at the time the entries are made.

(3) The divorces to be registered under subsection (1) in the divorce register shall-
(a) be entered, each on a page, on consecutive pages of that register, commencing with the first page for the first divorce to be registered, and
(b) be numbered consecutively in that register, in the order of time in which the Quazi registers those divorces.

(4) The party applying for a divorce shall pay the prescribed fee to the Quazi as soon as the proceedings for the divorce are commenced. The prescribed fee shall be paid in stamps and such stamps shall be affixed to the duplicate of the entries relating to the divorce and shall be duly cancelled by the Quazi.

(5) Upon the registration of a divorce the third copy referred to in this section shall forthwith, free of charge, be delivered or transmitted by post to the party applying for the divorce by the Quazi."
211,family, Muslim Marriage and Divorce Act,28-Divorce by wife.txt,"(1) Where a wife desires to effect a divorce from her husband, without his consent, on the ground of ill-treatment or on account of any act or omission on his part which amounts to a ” fault” under the Muslim law governing the sect to which the parties belong, the procedure laid down in the Third Schedule shall be followed,

(2) Where a wife desires to effect a divorce from her husband on any ground not referred to in subsection (1), being a divorce of any description permitted to a wife by the Muslim law governing the sect to which the parties belong, the procedure laid down in the Third Schedule shall be followed so far as the nature of the divorce claimed in each case renders it possible or necessary to follow that procedure."
212,family, Muslim Marriage and Divorce Act,27-Divorce by husband.txt,Where a husband desires to divorce his wife the procedure laid down in the Second Schedule shall be followed.
213,family, Muslim Marriage and Divorce Act,26-Wali of bride.txt,"(1) No person shall knowingly act as wali at the marriage of a Muslim woman, unless he is entitled according to the Muslim law governing the sect to which the bride belongs, to act as wali to that bride.

(2) No marriage at which any person has acted as wali in contravention of the provisions of subsection (1) shall be registered under this Act."
214,family, Muslim Marriage and Divorce Act,25-Declaration of Snaffle law as to marriage of women of that sect.txt,"(1) For the avoidance of doubt it is hereby declared that no contract of marriage of a woman belonging to the Shaffie sect is valid under the law applicable to that sect, unless-
(a) a person entitled to act as her wall-
(i) is present at the time and place at which the contract is entered into; and
(ii) communicates her consent to the contract and his own approval thereof; or
(b) the Quazi has under section 47, authorized the marriage and dispensed with the necessity for the presence and the approval of a wall.

(2) A marriage which is invalid under the law referred to in subsection (1) shall not be registered under this Act."
